URLs Downloaded, SizeKB, # of outlinks found, Content-type
https://www.nytimes.com/interactive/2018/opinion/editorialboard.html,55,43,text/html
https://www.nytimes.com/interactive/2017/admin/100000006125081.embedded.html,32,8,text/html
http://www.nytimes.com/marketing/tools-and-services/,19,52,text/html
https://www.nytimes.com/column/fixes,228,110,text/html
https://www.nytimes.com/2018/04/06/world/middleeast/saudi-prince-mohammed-bin-salman-us.html?module=inline,706,132,text/html
https://www.nytimes.com/interactive/2018/10/08/us/tracking-hurricane-michael-path.html,73,25,text/html
https://www.nytimes.com/by/david-d-kirkpatrick,113,123,text/html
https://www.nytimes.com/video/world/europe/100000006127491/sex-consent-refugees-sweden.html?playlistId=1194811622213,307,80,text/html
https://www.nytimes.com/column/gail-collins,401,110,text/html
https://www.nytimes.com/video/us/politics/100000006144866/senators-react-to-fbi-report-on-kavanaugh.html?playlistId=100000006090324,324,80,text/html
https://www.nytimes.com/video/us/politics/100000006151250/trump-kavanaugh-ceremony.html?playlistId=100000006015242,345,81,text/html
https://www.nytimes.com/2018/07/30/us/politics/rudy-giuliani-collusion-trump.html,645,130,text/html
https://www.nytimes.com/2018/10/05/technology/facebook-breach.html,802,150,text/html
https://www.nytimes.com/video/us/politics/100000006067682/president-trump-impeach-questions-answers-michael-cohen.html?playlistId=100000002797598,347,80,text/html
https://www.nytimes.com/section/climate,138,145,text/html
https://www.nytimes.com/2009/01/05/health/05iht-04creaturest.19085150.html?module=inline,101,94,text/html
https://www.nytimes.com/video/us/politics/100000005524412/paul-manafort-fraud-laundering-scandal.html,589,81,text/html
https://www.nytimes.com/2018/10/07/world/middleeast/turkey-jamal-khashoggi-saudi-arabia.html,636,134,text/html
https://www.nytimes.com/2018/01/19/business/delta-airlines-service-animals.html?action=click&module=inline&pgtype=Article&region=Footer,576,128,text/html
https://www.nytimes.com/2018/10/08/opinion/brazil-election-bolsonaro-authoritarian.html,582,130,text/html
https://www.nytimes.com/2018/10/08/arts/television/whats-on-tv-monday-better-call-saul-and-lodge-49.html,530,131,text/html
https://www.nytimes.com/video/us/politics/100000006142467/-donald-fred-trump-taxes-ground-lease.html?playlistId=100000006144521,372,63,text/html
https://www.nytimes.com/2018/06/17/us/politics/north-korea-back-channel-kushner-gabriel-schulze.html,613,146,text/html
https://www.nytimes.com/column/disability,230,110,text/html
https://www.nytimes.com/interactive/2018/09/28/us/politics/the-campaign-reporter-ul.html,360,10,text/html
https://www.nytimes.com/video/us/politics/100000006144723/feinstein-schumer-fbi-investigation-kavanaugh.html?playlistId=100000006090324,323,80,text/html
https://www.nytimes.com/section/obituaries,151,164,text/html
https://www.nytimes.com/video/world/asia/100000006136562/indonesia-earthquake-tsunami-destruction-survivors.html?playlistId=100000005448156,574,81,text/html
https://www.nytimes.com/subscription/hd/1041.html?campaignId,37,14,text/html
https://www.nytimes.com/column/frank-bruni,394,113,text/html
https://www.nytimes.com/2018/10/01/us/governor-jerry-brown-california-last-bill-signing.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,499,128,text/html
https://www.nytimes.com/by/michelle-goldberg,111,125,text/html
https://www.nytimes.com/2018/08/06/opinion/saudi-arabia-canada.html?action=click&module=RelatedLinks&pgtype=Article,437,131,text/html
https://www.nytimes.com/2018/06/06/us/politics/california-primary.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,792,132,text/html
https://www.nytimes.com/column/nicholas-kristof,109,130,text/html
https://www.nytimes.com/video/us/politics/100000006150161/trump-kavanaugh-hoax.html,586,82,text/html
https://www.nytimes.com/2018/10/08/us/fema-disaster-recovery-climate-change.html,1006,147,text/html
https://www.nytimes.com/subscription/multiproduct/lp8R34X.html?campaignId=748YY,100,35,text/html
https://www.nytimes.com/2018/10/05/nyregion/paul-manafort-property-forfeiture.html,859,128,text/html
https://www.nytimes.com/column/roger-cohen,407,111,text/html
https://www.nytimes.com/video/us/politics/100000006146535/live-video-senate-moves-toward-final-vote-on-kavanaugh.html?playlistId=100000006090324,321,80,text/html
https://www.nytimes.com/2018/07/12/us/politics/white-house-fbi-informant.html,529,122,text/html
https://www.nytimes.com/2018/10/07/world/asia/pompeo-north-korea-visit.html,748,132,text/html
https://www.nytimes.com/video/arts,561,82,text/html
https://www.nytimes.com/video/us/politics/100000006138441/trump-usmca-nafta-press-conference.html,586,82,text/html
https://www.nytimes.com/2018/10/08/business/economic-science-nobel-prize.html,643,126,text/html
https://www.nytimes.com/2018/10/07/business/china-trade-deals-retaliate.html,811,130,text/html
http://www.nytimes.com/services/mobile/index.html,9,15,text/html
https://www.nytimes.com/video/arts/100000006020764/online-proposal-videos.html,574,79,text/html
https://www.nytimes.com/2018/10/07/us/politics/kavanaugh-clerks.html,548,127,text/html
https://www.nytimes.com/2018/10/08/business/finland-tariffs-trump-administration.html,694,117,text/html
https://www.nytimes.com/video/us/politics/100000006142468/donald-fred-trump-taxes-family-mortgage.html?playlistId=100000006144521,372,63,text/html
https://www.nytimes.com/2018/10/07/obituaries/hamiet-bluiett-dies-at-78.html,550,131,text/html
https://www.nytimes.com/2018/09/20/insider/russia-investigation-details-so-far.html,483,129,text/html
https://www.nytimes.com/2018/10/06/opinion/sunday/eric-schneiderman-abuse.html,691,131,text/html
https://www.nytimes.com/video/us/politics/100000006117376/brett-kavanaugh-georgetown-prep-vegas.html?playlistId=100000006090324,326,80,text/html
https://www.nytimes.com/2018/10/08/opinion/gop-trump-kavanaugh-conspiracies-partisan.html,703,135,text/html
https://www.nytimes.com/2018/10/08/us/timothy-loehmann-tamir-rice-shooting.html,477,130,text/html
https://www.nytimes.com/column/david-brooks,396,110,text/html
https://www.nytimes.com/2018/10/08/world/asia/china-interpol-meng-hongwei.html,593,138,text/html
https://www.nytimes.com/video/world/100000006146692/nobel-peace-prize-nadia-murad-denis-mukwege.html?playlistId=1194811622205,430,82,text/html
https://www.nytimes.com/search/,145,101,text/html
https://www.nytimes.com/2018/10/07/climate/ipcc-climate-report-2040.html,894,130,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp8R3WU.html,17,30,text/html
https://www.nytimes.com/2018/10/04/opinion/kavanaugh-fbi-supreme-court-republicans.html,900,141,text/html
https://www.nytimes.com/2018/10/08/world/asia/mike-pompeo-kim-jong-un-north-korea.html,558,124,text/html
https://www.nytimes.com/2018/10/06/opinion/sunday/lindsey-graham-brett-kavanaugh.html,926,148,text/html
https://www.nytimes.com/video/world,428,81,text/html
